Airline,Weekday,Date,Departure Time,Departure Meridiem,Price
Alaska Airlines,Tue,7,7:00,am,149
Alaska Airlines,Thu,2,5:45,pm,159
Alaska Airlines,Mon,20,7:05,pm,369
United Airlines,Sat,18,4:58,pm,179
United Airlines,Sat,25,9:30,am,270
Alaska Airlines,Mon,20,7:00,am,369
Alaska Airlines,Fri,31,7:00,am,169
United Airlines,Wed,15,4:58,pm,179
Alaska Airlines,Fri,24,7:00,am,169
Alaska Airlines,Fri,3,5:45,pm,159
United Airlines,Sun,12,7:50,pm,389
United Airlines,Thu,9,4:58,pm,312
United Airlines,Wed,22,9:30,am,179
United Airlines,Tue,28,8:08,pm,179
United Airlines,Mon,6,9:30,am,221
Alaska Airlines,Wed,8,7:00,am,149
United Airlines,Wed,29,5:05,pm,179
United Airlines,Tue,28,3:02,pm,184
United Airlines,Tue,21,4:58,pm,179
United Airlines,Fri,31,3:02,pm,408
United Airlines,Wed,8,4:58,pm,149
United Airlines,Sat,18,7:50,pm,179
United Airlines,Mon,27,3:02,pm,394
United Airlines,Thu,16,4:58,pm,179
Alaska Airlines,Wed,15,7:00,am,169
United Airlines,Wed,22,7:50,pm,179
United Airlines,Fri,3,6:05,pm,159
Alaska Airlines,Fri,17,7:05,pm,169
Alaska Airlines,Tue,14,7:00,am,169
Alaska Airlines,Fri,17,7:00,am,169
United Airlines,Tue,28,5:05,pm,179
United Airlines,Mon,6,7:50,pm,159
United Airlines,Tue,14,7:50,pm,179
United Airlines,Thu,30,9:58,am,389
Alaska Airlines,Wed,22,7:00,am,169
United Airlines,Fri,3,9:30,am,221
Alaska Airlines,Thu,9,7:00,am,319
United Airlines,Mon,27,8:08,pm,179
Alaska Airlines,Tue,28,7:05,pm,169
United Airlines,Thu,23,9:30,am,236
Alaska Airlines,Thu,16,7:05,pm,169
Alaska Airlines,Sun,26,7:05,pm,319
Alaska Airlines,Sun,26,7:00,am,259
Alaska Airlines,Thu,2,7:00,am,159
Alaska Airlines,Fri,10,5:45,pm,369
Alaska Airlines,Sat,11,5:55,pm,369
United Airlines,Mon,20,9:30,am,389
Alaska Airlines,Mon,6,7:00,am,169
Alaska Airlines,Wed,1,5:55,pm,149
United Airlines,Thu,2,7:50,pm,159
United Airlines,Sat,11,9:30,am,539
United Airlines,Sun,5,9:30,am,279
United Airlines,Mon,27,5:05,pm,209
United Airlines,Fri,24,6:05,pm,179
Alaska Airlines,Thu,30,7:00,am,169
United Airlines,Wed,1,4:58,pm,149
United Airlines,Tue,7,9:30,am,179
Alaska Airlines,Sat,4,5:55,pm,149
United Airlines,Mon,13,7:50,pm,247
United Airlines,Thu,16,7:50,pm,179
United Airlines,Mon,27,9:58,am,312
Alaska Airlines,Sun,19,7:00,am,369
United Airlines,Fri,10,6:05,pm,539
Alaska Airlines,Mon,6,5:55,pm,189
United Airlines,Fri,10,7:50,pm,406
United Airlines,Thu,2,4:58,pm,159
United Airlines,Mon,20,4:58,pm,209
United Airlines,Fri,31,9:58,am,270
Alaska Airlines,Tue,21,7:00,am,319
United Airlines,Fri,31,5:05,pm,179
United Airlines,Wed,8,9:30,am,217
United Airlines,Fri,31,8:08,pm,179
United Airlines,Wed,29,3:02,pm,235
Alaska Airlines,Wed,1,7:00,am,149
United Airlines,Tue,21,7:50,pm,179
United Airlines,Wed,1,9:44,am,209
United Airlines,Mon,20,7:50,pm,179
United Airlines,Sun,19,7:50,pm,230
United Airlines,Tue,14,4:58,pm,179
Alaska Airlines,Thu,30,7:05,pm,189
Alaska Airlines,Tue,14,5:55,pm,169
United Airlines,Wed,29,8:08,pm,179
United Airlines,Sat,4,4:58,pm,149
United Airlines,Fri,17,7:50,pm,179
Alaska Airlines,Mon,27,7:05,pm,189
United Airlines,Sun,12,9:30,am,539
Alaska Airlines,Sat,25,7:00,am,169
United Airlines,Sat,11,4:58,pm,406
United Airlines,Sun,26,5:05,pm,312
Alaska Airlines,Wed,29,7:05,pm,169
Alaska Airlines,Wed,22,7:05,pm,169
Alaska Airlines,Wed,15,5:55,pm,169
United Airlines,Sat,4,9:30,am,149
Alaska Airlines,Mon,27,7:00,am,259
Alaska Airlines,Wed,29,7:00,am,169
United Airlines,Sun,12,4:58,pm,406
Alaska Airlines,Wed,8,5:55,pm,189
United Airlines,Thu,2,9:44,am,159
United Airlines,Sat,18,9:30,am,230
Alaska Airlines,Tue,21,7:05,pm,319
Alaska Airlines,Thu,16,7:00,am,169
United Airlines,Sun,26,8:08,pm,279
United Airlines,Fri,17,9:30,am,209
Alaska Airlines,Sat,18,7:00,am,169
United Airlines,Tue,21,9:30,am,179
United Airlines,Fri,10,9:30,am,539
United Airlines,Sat,25,4:58,pm,247
United Airlines,Mon,6,4:58,pm,159
Alaska Airlines,Thu,23,7:00,am,169
United Airlines,Tue,7,7:50,pm,149
Alaska Airlines,Tue,28,7:00,am,169
United Airlines,Wed,1,7:50,pm,149
United Airlines,Thu,30,3:02,pm,394
Alaska Airlines,Tue,7,5:55,pm,149
United Airlines,Sun,19,9:30,am,279
Alaska Airlines,Sat,25,7:05,pm,229
United Airlines,Fri,3,7:50,pm,159
Alaska Airlines,Thu,23,7:05,pm,169
United Airlines,Thu,30,5:05,pm,201
United Airlines,Wed,15,7:50,pm,179
Alaska Airlines,Fri,10,7:00,am,369
United Airlines,Thu,16,9:30,am,209
United Airlines,Tue,7,4:58,pm,149
